"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2016년 07월 06일","94,700","93,800","94,900","92,600","270.30K","1.50%"
"2016년 07월 05일","93,300","93,600","94,300","92,900","186.78K","-0.53%"
"2016년 07월 04일","93,800","95,200","95,500","93,700","188.86K","-0.95%"
"2016년 07월 03일","94,700","94,700","94,700","94,700","-","0.00%"
"2016년 07월 01일","94,700","93,600","95,300","93,500","280.01K","1.72%"
"2016년 06월 30일","93,100","93,100","93,700","92,700","163.23K","0.98%"
"2016년 06월 29일","92,200","92,200","93,300","92,200","235.92K","1.10%"
"2016년 06월 28일","91,200","91,000","92,600","90,900","275.38K","-0.44%"
"2016년 06월 27일","91,600","88,700","91,800","88,700","321.34K","0.44%"
"2016년 06월 26일","91,200","91,200","91,200","91,200","0.02K","0.00%"
"2016년 06월 24일","91,200","94,500","94,600","88,300","710.40K","-2.15%"
"2016년 06월 23일","93,200","93,800","94,000","92,900","185.05K","-1.06%"
"2016년 06월 22일","94,200","93,300","94,700","93,300","138.15K","0.43%"
"2016년 06월 21일","93,800","95,200","95,700","93,600","182.79K","-1.16%"
"2016년 06월 20일","94,900","91,500","94,900","91,500","300.32K","3.94%"
"2016년 06월 19일","91,300","91,300","91,300","91,300","0.42K","0.00%"
"2016년 06월 17일","91,300","91,700","92,400","90,700","251.84K","0.11%"
"2016년 06월 16일","91,200","93,000","93,800","90,900","346.44K","-1.72%"
"2016년 06월 15일","92,800","93,900","94,000","92,800","247.21K","-1.38%"
"2016년 06월 14일","94,100","93,000","95,200","93,000","280.24K","0.32%"
"2016년 06월 13일","93,800","94,200","94,500","93,500","259.06K","-1.16%"
"2016년 06월 12일","94,900","94,900","94,900","94,900","1.63K","0.00%"
"2016년 06월 10일","94,900","95,500","96,100","94,600","392.46K","-0.32%"
"2016년 06월 09일","95,200","97,400","97,500","94,400","847.87K","-1.86%"
"2016년 06월 08일","97,000","97,400","98,400","96,900","327.81K","-1.22%"
"2016년 06월 07일","98,200","97,900","98,600","97,100","276.70K","0.20%"
"2016년 06월 06일","98,000","98,000","98,000","98,000","0.19K","0.00%"
"2016년 06월 03일","98,000","97,000","98,600","96,900","321.41K","0.51%"
"2016년 06월 02일","97,500","99,000","99,300","96,300","554.68K","-1.02%"
"2016년 06월 01일","98,500","102,900","103,000","98,100","1.01M","-4.18%"
"2016년 05월 31일","102,800","102,800","103,500","102,000","330.48K","0.00%"
"2016년 05월 30일","102,800","101,600","103,500","101,300","319.40K","2.19%"
"2016년 05월 29일","100,600","100,600","100,600","100,600","0.10K","0.00%"
"2016년 05월 27일","100,600","100,400","101,200","99,900","148.57K","0.90%"
"2016년 05월 26일","99,700","99,700","100,300","98,900","183.83K","0.10%"
"2016년 05월 25일","99,600","99,400","100,500","99,200","227.87K","0.40%"
"2016년 05월 24일","99,200","100,200","100,700","99,200","171.62K","-1.00%"
"2016년 05월 23일","100,200","100,200","101,700","100,000","170.22K","0.91%"
"2016년 05월 20일","99,300","99,900","100,500","98,500","321.66K","-1.00%"
"2016년 05월 19일","100,300","104,600","105,300","99,800","395.29K","-4.02%"
"2016년 05월 18일","104,500","104,100","104,900","103,100","206.78K","-0.57%"
"2016년 05월 17일","105,100","104,500","106,200","104,100","199.17K","-0.28%"
"2016년 05월 16일","105,400","103,100","106,200","102,400","244.41K","1.54%"
"2016년 05월 13일","103,800","105,700","105,900","103,300","259.90K","-2.35%"
"2016년 05월 12일","106,300","104,300","107,900","104,000","558.35K","0.57%"
"2016년 05월 11일","105,700","101,500","106,300","100,800","716.12K","5.07%"
"2016년 05월 10일","100,600","101,900","102,200","99,900","208.22K","-1.08%"
"2016년 05월 09일","101,700","99,700","102,300","99,700","251.13K","1.70%"
"2016년 05월 04일","100,000","100,100","100,700","99,700","133.55K","0.20%"
"2016년 05월 03일","99,800","99,600","100,700","99,600","108.89K","0.20%"
"2016년 05월 02일","99,600","99,500","100,300","99,400","129.32K","-0.90%"
"2016년 04월 29일","100,500","100,000","100,500","99,500","143.69K","0.00%"
"2016년 04월 28일","100,500","103,500","103,500","100,400","243.36K","-1.86%"
"2016년 04월 27일","102,400","102,500","103,000","101,300","166.48K","0.79%"
"2016년 04월 26일","101,600","105,600","105,700","101,600","343.66K","-2.59%"
"2016년 04월 25일","104,300","100,400","104,300","100,000","394.85K","4.72%"
"2016년 04월 22일","99,600","101,500","101,500","99,500","265.53K","-1.87%"
"2016년 04월 21일","101,500","103,500","103,700","101,200","195.62K","-1.55%"
"2016년 04월 20일","103,100","102,000","103,800","102,000","251.41K","0.59%"
"2016년 04월 19일","102,500","102,100","102,600","101,600","219.80K","0.29%"
"2016년 04월 18일","102,200","101,400","102,500","100,600","259.87K","0.99%"
"2016년 04월 15일","101,200","101,100","101,900","100,400","179.59K","0.90%"
"2016년 04월 14일","100,300","102,800","102,800","100,300","361.96K","-0.10%"
"2016년 04월 12일","100,400","99,100","101,900","99,100","459.69K","2.66%"
"2016년 04월 11일","97,800","99,500","99,800","97,600","199.71K","-1.01%"
"2016년 04월 08일","98,800","97,500","98,800","96,800","207.69K","0.41%"
"2016년 04월 07일","98,400","97,000","98,700","97,000","223.27K","1.65%"
"2016년 04월 06일","96,800","96,800","97,500","96,000","318.30K","0.31%"
"2016년 04월 05일","96,500","99,300","99,600","96,500","484.92K","-2.82%"
"2016년 04월 04일","99,300","99,300","100,400","98,000","476.52K","-2.46%"
"2016년 04월 01일","101,800","99,600","103,500","99,500","365.84K","2.62%"
"2016년 03월 31일","99,200","100,400","100,500","98,500","534.31K","-0.90%"
"2016년 03월 30일","100,100","100,400","101,800","99,900","349.81K","-0.30%"
"2016년 03월 29일","100,400","100,800","101,900","99,900","314.60K","-0.40%"
"2016년 03월 28일","100,800","101,700","102,800","100,300","383.17K","-1.85%"
"2016년 03월 25일","102,700","106,500","107,000","102,000","453.22K","-4.02%"
"2016년 03월 24일","107,000","106,600","107,600","106,300","140.30K","0.38%"
"2016년 03월 23일","106,600","108,500","110,000","106,600","338.12K","-2.65%"
"2016년 03월 22일","109,500","108,300","109,600","106,500","384.35K","-0.18%"
"2016년 03월 21일","109,700","112,200","112,200","107,700","380.24K","-2.23%"
"2016년 03월 18일","112,200","113,100","113,400","111,500","198.04K","-0.09%"
"2016년 03월 17일","112,300","111,300","112,500","110,800","284.50K","2.46%"
"2016년 03월 16일","109,600","111,400","112,500","108,700","387.49K","-1.62%"
"2016년 03월 15일","111,400","112,600","113,000","110,400","311.20K","-1.07%"
"2016년 03월 14일","112,600","112,000","113,300","111,700","343.08K","1.26%"
"2016년 03월 11일","111,200","110,000","111,900","108,800","379.43K","1.00%"
"2016년 03월 10일","110,100","107,500","111,900","107,400","616.94K","2.13%"
"2016년 03월 09일","107,800","106,000","108,500","105,100","338.07K","1.51%"
"2016년 03월 08일","106,200","106,600","107,200","104,500","341.11K","0.28%"
"2016년 03월 07일","105,900","104,100","107,000","104,100","563.20K","2.02%"
"2016년 03월 04일","103,800","102,400","104,600","101,300","561.55K","2.27%"
"2016년 03월 03일","101,500","97,400","101,900","96,300","631.71K","4.21%"
"2016년 03월 02일","97,400","95,800","97,600","95,100","413.73K","2.63%"
"2016년 02월 29일","94,900","95,100","95,500","94,000","212.00K","0.85%"
"2016년 02월 26일","94,100","94,600","95,300","94,000","175.41K","-0.42%"
"2016년 02월 25일","94,500","95,900","96,800","93,400","293.69K","-0.53%"
"2016년 02월 24일","95,000","96,000","96,100","94,200","349.72K","-1.45%"
"2016년 02월 23일","96,400","93,000","97,500","92,900","724.31K","4.33%"
"2016년 02월 22일","92,400","93,000","93,400","91,500","284.53K","-0.22%"
"2016년 02월 19일","92,600","91,500","93,400","91,500","299.34K","0.22%"
"2016년 02월 18일","92,400","94,300","94,600","92,300","363.27K","0.33%"
"2016년 02월 17일","92,100","93,600","95,100","92,100","380.18K","-2.33%"
"2016년 02월 16일","94,300","93,600","95,400","92,800","382.64K","2.17%"
"2016년 02월 15일","92,300","93,100","95,000","90,600","705.48K","-0.54%"
"2016년 02월 12일","92,800","99,000","100,400","92,700","982.17K","-7.85%"
"2016년 02월 11일","100,700","104,500","104,900","100,700","733.03K","-7.53%"
"2016년 02월 05일","108,900","108,200","112,100","107,300","372.20K","-0.37%"
"2016년 02월 04일","109,300","109,200","109,900","108,700","144.63K","0.09%"
"2016년 02월 03일","109,200","107,900","109,700","107,900","218.26K","0.46%"
"2016년 02월 02일","108,700","110,000","110,400","108,700","225.62K","-1.00%"
"2016년 02월 01일","109,800","110,100","110,800","109,100","192.06K","0.46%"
"2016년 01월 29일","109,300","110,000","110,600","108,700","246.13K","-0.18%"
"2016년 01월 28일","109,500","109,700","109,900","107,700","245.78K","0.27%"
"2016년 01월 27일","109,200","113,000","113,400","108,600","533.45K","-2.85%"
"2016년 01월 26일","112,400","113,000","113,500","111,700","152.92K","-0.62%"
"2016년 01월 25일","113,100","113,000","114,100","112,100","202.42K","0.27%"
"2016년 01월 22일","112,800","111,100","113,800","111,000","242.51K","1.62%"
"2016년 01월 21일","111,000","111,600","112,000","110,500","322.21K","-0.98%"
"2016년 01월 20일","112,100","114,300","114,300","111,600","290.25K","-1.75%"
"2016년 01월 19일","114,100","115,900","116,000","111,300","562.73K","-1.81%"
"2016년 01월 18일","116,200","117,200","118,000","115,200","411.30K","-2.11%"
"2016년 01월 15일","118,700","120,000","120,200","118,000","256.78K","-0.17%"
"2016년 01월 14일","118,900","118,600","119,400","117,700","284.21K","-0.75%"
"2016년 01월 13일","119,800","117,600","120,500","117,500","563.56K","2.92%"
"2016년 01월 12일","116,400","116,000","118,800","115,500","379.91K","1.48%"
"2016년 01월 11일","114,700","114,800","120,400","114,100","545.22K","-0.43%"
"2016년 01월 08일","115,200","115,300","115,900","113,700","398.70K","-1.79%"
"2016년 01월 07일","117,300","118,400","120,500","116,600","341.02K","-1.51%"
"2016년 01월 06일","119,100","118,000","121,100","117,300","542.62K","1.71%"
"2016년 01월 05일","117,100","114,100","117,500","113,800","316.64K","1.56%"
"2016년 01월 04일","115,300","117,500","117,500","115,300","296.13K","-0.43%"
"2015년 12월 30일","115,800","113,900","117,200","113,800","364.92K","2.12%"
"2015년 12월 29일","113,400","111,500","113,900","111,500","282.65K","2.53%"
"2015년 12월 28일","110,600","112,100","112,400","110,600","322.64K","0.00%"
"2015년 12월 24일","110,600","111,500","111,900","110,600","191.53K","-0.36%"
"2015년 12월 23일","111,000","112,000","112,200","110,900","165.28K","-0.36%"
"2015년 12월 22일","111,400","112,000","112,100","111,000","199.76K","-0.71%"
"2015년 12월 21일","112,200","112,200","112,400","111,100","115.04K","0.09%"
"2015년 12월 18일","112,100","110,800","112,300","109,700","134.06K","0.63%"
"2015년 12월 17일","111,400","113,500","113,500","111,200","136.11K","0.18%"
"2015년 12월 16일","111,200","109,700","112,300","109,700","189.83K","2.68%"
"2015년 12월 15일","108,300","108,000","109,400","107,900","276.69K","0.28%"
"2015년 12월 14일","108,000","110,200","111,700","108,000","345.23K","-4.17%"
"2015년 12월 11일","112,700","113,000","114,300","112,600","190.62K","-0.09%"
"2015년 12월 10일","112,800","115,600","115,800","112,800","322.76K","-2.84%"
"2015년 12월 09일","116,100","117,600","118,000","116,100","169.34K","-0.85%"
"2015년 12월 08일","117,100","118,900","119,400","116,800","248.51K","-1.35%"
"2015년 12월 07일","118,700","119,000","120,300","118,700","271.13K","0.34%"
"2015년 12월 04일","118,300","119,300","121,300","118,300","289.62K","-2.07%"
"2015년 12월 03일","120,800","116,300","121,100","116,300","517.13K","0.83%"
"2015년 12월 02일","119,800","121,400","123,600","119,800","591.16K","0.34%"
"2015년 12월 01일","119,400","120,800","121,700","118,300","624.80K","-1.00%"
"2015년 11월 30일","120,600","126,500","131,000","119,400","2.92M","3.88%"
"2015년 11월 27일","116,100","113,200","117,500","112,900","547.29K","3.38%"
"2015년 11월 26일","112,300","112,300","113,200","112,000","191.16K","0.18%"
"2015년 11월 25일","112,100","113,400","113,600","111,900","241.00K","-0.62%"
"2015년 11월 24일","112,800","113,700","113,900","112,000","329.76K","-1.14%"
"2015년 11월 23일","114,100","115,700","116,000","113,800","235.40K","-1.21%"
"2015년 11월 20일","115,500","115,000","116,800","114,700","180.50K","0.17%"
"2015년 11월 19일","115,300","114,700","115,900","113,500","182.31K","0.61%"
"2015년 11월 18일","114,600","114,500","116,100","113,700","222.24K","-0.17%"
"2015년 11월 17일","114,800","116,600","116,800","114,400","234.25K","-0.26%"
"2015년 11월 16일","115,100","117,500","118,900","115,100","326.84K","-3.60%"
"2015년 11월 13일","119,400","117,500","119,900","117,100","366.41K","0.34%"
"2015년 11월 12일","119,000","114,100","120,000","114,100","841.28K","6.73%"
"2015년 11월 11일","111,500","111,400","113,400","111,400","183.07K","-0.18%"
"2015년 11월 10일","111,700","113,400","114,000","110,900","356.41K","-2.87%"
"2015년 11월 09일","115,000","119,800","120,000","114,500","320.76K","-3.36%"
"2015년 11월 06일","119,000","119,200","120,000","118,000","304.29K","-1.08%"
"2015년 11월 05일","120,300","115,900","120,900","115,800","945.91K","4.79%"
"2015년 11월 04일","114,800","111,500","114,800","111,400","305.88K","3.24%"
"2015년 11월 03일","111,200","111,500","112,600","110,100","247.49K","-0.09%"
"2015년 11월 02일","111,300","112,900","113,400","110,500","282.82K","-2.02%"
"2015년 10월 30일","113,600","114,600","115,500","113,500","148.76K","-0.96%"
"2015년 10월 29일","114,700","115,400","116,600","114,000","219.18K","-0.17%"
"2015년 10월 28일","114,900","113,900","115,200","113,000","322.73K","1.50%"
"2015년 10월 27일","113,200","113,500","114,100","112,400","223.61K","-0.70%"
"2015년 10월 26일","114,000","114,700","115,500","113,100","192.75K","-0.35%"
"2015년 10월 23일","114,400","113,000","114,400","112,600","231.47K","1.96%"
"2015년 10월 22일","112,200","115,100","115,100","112,000","424.76K","-2.77%"
"2015년 10월 21일","115,400","116,100","117,300","115,100","260.68K","-0.52%"
"2015년 10월 20일","116,000","114,300","117,900","114,300","346.17K","0.52%"
"2015년 10월 19일","115,400","115,100","116,200","111,800","518.67K","0.26%"
"2015년 10월 16일","115,100","115,900","116,900","114,600","461.40K","-0.78%"
"2015년 10월 15일","116,000","120,900","121,100","115,500","1.20M","-4.84%"
"2015년 10월 14일","121,900","120,900","122,200","120,400","251.90K","0.66%"
"2015년 10월 13일","121,100","121,800","123,400","121,100","341.53K","-0.90%"
"2015년 10월 12일","122,200","123,400","124,300","122,100","365.38K","-0.89%"
"2015년 10월 08일","123,300","125,500","127,200","122,900","443.15K","-2.07%"
"2015년 10월 07일","125,900","125,800","127,000","124,500","344.64K","-1.02%"
"2015년 10월 06일","127,200","130,200","131,200","127,000","343.76K","-2.00%"
"2015년 10월 05일","129,800","130,500","130,900","128,500","325.23K","-0.15%"
"2015년 10월 02일","130,000","130,000","131,400","128,200","563.85K","2.04%"
"2015년 10월 01일","127,400","127,700","133,400","125,500","1.15M","1.19%"
"2015년 09월 30일","125,900","123,300","127,200","123,000","500.12K","2.36%"
"2015년 09월 25일","123,000","122,000","123,400","122,000","163.07K","0.08%"
"2015년 09월 24일","122,900","124,400","124,500","122,700","173.21K","-0.41%"
"2015년 09월 23일","123,400","123,500","125,400","123,300","226.73K","-0.64%"
"2015년 09월 22일","124,200","125,000","125,200","123,800","172.88K","-0.40%"
"2015년 09월 21일","124,700","124,100","125,000","122,700","222.74K","-0.64%"
"2015년 09월 18일","125,500","125,700","127,900","124,700","381.95K","0.32%"
"2015년 09월 17일","125,100","127,200","127,400","124,300","301.62K","-0.87%"
"2015년 09월 16일","126,200","124,600","126,200","124,000","347.44K","2.85%"
"2015년 09월 15일","122,700","122,500","123,500","121,800","203.13K","0.57%"
"2015년 09월 14일","122,000","125,000","126,600","120,700","408.09K","-1.77%"
"2015년 09월 11일","124,200","125,800","125,900","124,200","290.47K","-0.64%"
"2015년 09월 10일","125,000","124,800","126,000","123,900","241.50K","-1.50%"
"2015년 09월 09일","126,900","125,000","127,300","124,500","294.85K","3.51%"
"2015년 09월 08일","122,600","124,400","125,400","121,500","316.62K","-1.13%"
"2015년 09월 07일","124,000","125,400","126,800","124,000","248.75K","-0.56%"
"2015년 09월 04일","124,700","129,600","131,300","124,700","400.21K","-3.63%"
"2015년 09월 03일","129,400","130,300","133,300","129,000","381.71K","1.01%"
"2015년 09월 02일","128,100","127,600","129,500","126,300","532.97K","-1.84%"
"2015년 09월 01일","130,500","134,000","136,000","130,500","383.69K","-3.26%"
